,Iteration,B Type,Constructor,Land Cost,CC1,CC2,Net OP,Q1,Q2,P1,P2,Primary Action,Subsidy Cost,Education Cost,E,EI,U2-After-Education,U3-After-Education,S,Price Difference,Price Difference- After Subsidy,P2-Subsidized-Relative-Percent,A3 Constructor Amount,Green A3 Demand,Green A3 Total Built,Green A3 Amount left,A4 Constructor Amount,Green A4 Demand,Green A4 Total Built,Green A4 Amount left,A5 Constructor Amount,Green A5 Demand,Green A5 Total Built,Green A5 Amount left,A6 Constructor Amount,Green A6 Demand,Green A6 Total Built,Green A6 Amount left,H1,H2,Total Green Apartments,Constructor Profit
0,1,B1,1,2769804,692386220,702075999,15.0%,4319119,4398489,4403118,4485265,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,82147,82147,1.831%,50.0,140,50.0,90.0,80.0,229,80.0,149.0,50.0,134,50.0,84.0,20.0,53,20.0,33.0,103857940.0,105311380.0,200.0,105311380.0
1,1,B1,2,2769804,692386220,702075999,14.5%,4300341,4379365,4383682,4465472,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81790,81790,1.832%,50.0,140,100.0,40.0,80.0,229,160.0,69.0,50.0,134,100.0,34.0,20.0,53,40.0,13.0,100396010.0,101801020.0,400.0,101801020.0
2,1,B1,3,2769804,692386220,702075999,14.0%,4281562,4360241,4364246,4445679,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81433,81433,1.832%,50.0,140,140.0,0.0,80.0,229,229.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,96934110.0,97974318.0,556.0,97974318.0
3,1,B1,4,2769804,692386220,702075999,13.5%,4262783,4341117,4344810,4425886,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,81076,81076,1.832%,50.0,140,140.0,0.0,80.0,229,229.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,93472080.0,93472080.0,556.0,93472080.0
4,1,B1,5,2769804,692386220,702075999,13.0%,4244004,4321993,4325374,4406092,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80718,80718,1.832%,50.0,140,140.0,0.0,80.0,229,229.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,90010180.0,90010180.0,556.0,90010180.0
5,1,B1,6,2769804,692386220,702075999,12.5%,4225226,4302869,4305938,4386299,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80361,80361,1.832%,50.0,140,140.0,0.0,80.0,229,229.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,86548300.0,86548300.0,556.0,86548300.0
6,1,B1,7,2769804,692386220,702075999,12.0%,4206447,4283745,4286502,4366506,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,80004,80004,1.832%,50.0,140,140.0,0.0,80.0,229,229.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,83086400.0,83086400.0,556.0,83086400.0
7,1,B1,8,2769804,692386220,702075999,11.5%,4187668,4264621,4267066,4346713,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79647,79647,1.832%,50.0,140,140.0,0.0,80.0,229,229.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,79624450.0,79624450.0,556.0,79624450.0
8,1,B1,9,2769804,692386220,702075999,11.0%,4168889,4245498,4247630,4326920,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,79290,79290,1.832%,50.0,140,140.0,0.0,80.0,229,229.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,76162470.0,76162470.0,556.0,76162470.0
9,1,B1,10,2769804,692386220,702075999,10.5%,4150110,4226374,4228194,4307126,Subsidy,0,15000000,15,5e-05,26.926%,43.074%,0,78933,78933,1.833%,50.0,140,140.0,0.0,80.0,229,229.0,0.0,50.0,134,134.0,0.0,20.0,53,53.0,0.0,72700520.0,72700520.0,556.0,72700520.0
10,2,B1,1,2769804,692386220,702075999,15.0%,4319119,4398489,4403118,4485265,Education,15000000,0,0,0.0,3.074%,66.926%,7500,82147,74647,1.664%,50.0,23,23.0,0.0,80.0,46,46.0,0.0,50.0,23,23.0,0.0,20.0,6,6.0,0.0,103857940.0,104557250.0,98.0,104557250.0
11,2,B1,2,2769804,692386220,702075999,14.5%,4300341,4379365,4383682,4465472,Education,15000000,0,0,0.0,3.074%,66.926%,7500,81790,74290,1.664%,50.0,23,23.0,0.0,80.0,46,46.0,0.0,50.0,23,23.0,0.0,20.0,6,6.0,0.0,100396010.0,100396010.0,98.0,100396010.0
12,2,B1,3,2769804,692386220,702075999,14.0%,4281562,4360241,4364246,4445679,Education,15000000,0,0,0.0,3.074%,66.926%,7500,81433,73933,1.663%,50.0,23,23.0,0.0,80.0,46,46.0,0.0,50.0,23,23.0,0.0,20.0,6,6.0,0.0,96934110.0,96934110.0,98.0,96934110.0
13,2,B1,4,2769804,692386220,702075999,13.5%,4262783,4341117,4344810,4425886,Education,15000000,0,0,0.0,3.074%,66.926%,7500,81076,73576,1.662%,50.0,23,23.0,0.0,80.0,46,46.0,0.0,50.0,23,23.0,0.0,20.0,6,6.0,0.0,93472080.0,93472080.0,98.0,93472080.0
14,2,B1,5,2769804,692386220,702075999,13.0%,4244004,4321993,4325374,4406092,Education,15000000,0,0,0.0,3.074%,66.926%,7500,80718,73218,1.662%,50.0,23,23.0,0.0,80.0,46,46.0,0.0,50.0,23,23.0,0.0,20.0,6,6.0,0.0,90010180.0,90010180.0,98.0,90010180.0
15,2,B1,6,2769804,692386220,702075999,12.5%,4225226,4302869,4305938,4386299,Education,15000000,0,0,0.0,3.074%,66.926%,7500,80361,72861,1.661%,50.0,23,23.0,0.0,80.0,46,46.0,0.0,50.0,23,23.0,0.0,20.0,6,6.0,0.0,86548300.0,86548300.0,98.0,86548300.0
16,2,B1,7,2769804,692386220,702075999,12.0%,4206447,4283745,4286502,4366506,Education,15000000,0,0,0.0,3.074%,66.926%,7500,80004,72504,1.66%,50.0,23,23.0,0.0,80.0,46,46.0,0.0,50.0,23,23.0,0.0,20.0,6,6.0,0.0,83086400.0,83086400.0,98.0,83086400.0
17,2,B1,8,2769804,692386220,702075999,11.5%,4187668,4264621,4267066,4346713,Education,15000000,0,0,0.0,3.074%,66.926%,7500,79647,72147,1.66%,50.0,23,23.0,0.0,80.0,46,46.0,0.0,50.0,23,23.0,0.0,20.0,6,6.0,0.0,79624450.0,79624450.0,98.0,79624450.0
18,2,B1,9,2769804,692386220,702075999,11.0%,4168889,4245498,4247630,4326920,Education,15000000,0,0,0.0,3.074%,66.926%,7500,79290,71790,1.659%,50.0,23,23.0,0.0,80.0,46,46.0,0.0,50.0,23,23.0,0.0,20.0,6,6.0,0.0,76162470.0,76162470.0,98.0,76162470.0
19,2,B1,10,2769804,692386220,702075999,10.5%,4150110,4226374,4228194,4307126,Education,15000000,0,0,0.0,3.074%,66.926%,7500,78933,71433,1.658%,50.0,23,23.0,0.0,80.0,46,46.0,0.0,50.0,23,23.0,0.0,20.0,6,6.0,0.0,72700520.0,72700520.0,98.0,72700520.0
